Name,P1,P2,P3,r/d,D/d,k
1,2.5,55,21.99254227,0.05,1.1,2.199254227
2,2.535,55.19,23.1358435,0.0507,1.1038,2.31358435
3,2.57,55.38,22.9897485,0.0514,1.1076,2.29897485
4,2.605,55.57,22.1458855,0.0521,1.1114,2.21458855
5,2.64,55.76,24.995756,0.0528,1.1152,2.4995756
6,2.675,55.95,23.198828,0.0535,1.119,2.3198828
7,2.71,56.14,23.7707195,0.0542,1.1228,2.37707195
8,2.745,56.33,23.708241,0.0549,1.1266,2.3708241
9,2.78,56.52,22.848195,0.0556,1.1304,2.2848195
10,2.815,56.71,26.961052,0.0563,1.1342,2.6961052
11,2.85,56.9,22.417806,0.057,1.138,2.2417806
12,2.885,57.09,24.128403,0.0577,1.1418,2.4128403
13,2.92,57.28,26.2427785,0.0584,1.1456,2.62427785
14,2.955,57.47,22.53875,0.0591,1.1494,2.253875
15,2.99,57.66,22.5953135,0.0598,1.1532,2.25953135
16,3.025,57.85,25.611787,0.0605,1.157,2.5611787
17,3.06,58.04,25.4979635,0.0612,1.1608,2.54979635
18,3.095,58.23,23.509133,0.0619,1.1646,2.3509133
19,3.13,58.42,23.2337065,0.0626,1.1684,2.32337065
20,3.165,58.61,25.759386,0.0633,1.1722,2.5759386
21,3.2,58.8,24.682108,0.064,1.176,2.4682108
22,3.235,58.99,24.7586725,0.0647,1.1798,2.47586725
23,3.27,59.18,26.0420155,0.0654,1.1836,2.60420155
24,3.305,59.37,24.50812,0.0661,1.1874,2.450812
25,3.34,59.56,25.888958,0.0668,1.1912,2.5888958
26,3.375,59.75,24.786355,0.0675,1.195,2.4786355
27,3.41,59.94,24.7025915,0.0682,1.1988,2.47025915
28,3.445,60.13,26.8217445,0.0689,1.2026,2.68217445
29,3.48,60.32,25.9009755,0.0696,1.2064,2.59009755
30,3.515,60.51,24.7273875,0.0703,1.2102,2.47273875
31,3.55,60.7,24.610019,0.071,1.214,2.4610019
32,3.585,60.89,27.3199495,0.0717,1.2178,2.73199495
33,3.62,61.08,26.690108,0.0724,1.2216,2.6690108
34,3.655,61.27,25.9027815,0.0731,1.2254,2.59027815
35,3.69,61.46,25.2024875,0.0738,1.2292,2.52024875
36,3.725,61.65,25.878495,0.0745,1.233,2.5878495
37,3.76,61.84,25.13341,0.0752,1.2368,2.513341
38,3.795,62.03,23.472886,0.0759,1.2406,2.3472886
39,3.83,62.22,24.137029,0.0766,1.2444,2.4137029
40,3.865,62.41,25.2177625,0.0773,1.2482,2.52177625
41,3.9,62.6,25.357485,0.078,1.252,2.5357485
42,3.935,62.79,25.501715,0.0787,1.2558,2.5501715
43,3.97,62.98,24.916041,0.0794,1.2596,2.4916041
44,4.005,63.17,24.0566935,0.0801,1.2634,2.40566935
45,4.04,63.36,24.8752335,0.0808,1.2672,2.48752335
46,4.075,63.55,25.636721,0.0815,1.271,2.5636721
47,4.11,63.74,26.0684215,0.0822,1.2748,2.60684215
48,4.145,63.93,24.9437855,0.0829,1.2786,2.49437855
49,4.18,64.12,24.7907135,0.0836,1.2824,2.47907135
50,4.215,64.31,25.097552,0.0843,1.2862,2.5097552
51,4.25,64.5,26.827812,0.085,1.29,2.6827812
52,4.285,64.69,24.4386265,0.0857,1.2938,2.44386265
53,4.32,64.88,24.7157535,0.0864,1.2976,2.47157535
54,4.355,65.07,24.7761705,0.0871,1.3014,2.47761705
55,4.39,65.26,24.2131695,0.0878,1.3052,2.42131695
56,4.425,65.45,23.7534765,0.0885,1.309,2.37534765
57,4.46,65.64,24.937052,0.0892,1.3128,2.4937052
58,4.495,65.83,26.5763385,0.0899,1.3166,2.65763385
59,4.53,66.02,25.118698,0.0906,1.3204,2.5118698
60,4.565,66.21,25.653443,0.0913,1.3242,2.5653443
61,4.6,66.4,24.258447,0.092,1.328,2.4258447
62,4.635,66.59,25.239344,0.0927,1.3318,2.5239344
63,4.67,66.78,24.6392135,0.0934,1.3356,2.46392135
64,4.705,66.97,25.5608765,0.0941,1.3394,2.55608765
65,4.74,67.16,24.226418,0.0948,1.3432,2.4226418
66,4.775,67.35,24.5199275,0.0955,1.347,2.45199275
67,4.81,67.54,24.520702,0.0962,1.3508,2.4520702
68,4.845,67.73,23.9582885,0.0969,1.3546,2.39582885
69,4.88,67.92,25.489178,0.0976,1.3584,2.5489178
70,4.915,68.11,23.968606,0.0983,1.3622,2.3968606
71,4.95,68.3,24.778798,0.099,1.366,2.4778798
72,4.985,68.49,24.565522,0.0997,1.3698,2.4565522
73,5.02,68.68,23.98013,0.1004,1.3736,2.398013
74,5.055,68.87,25.4383805,0.1011,1.3774,2.54383805
75,5.09,69.06,25.4665455,0.1018,1.3812,2.54665455
76,5.125,69.25,23.418762,0.1025,1.385,2.3418762
77,5.16,69.44,25.4083725,0.1032,1.3888,2.54083725
78,5.195,69.63,23.6061805,0.1039,1.3926,2.36061805
79,5.23,69.82,25.5663925,0.1046,1.3964,2.55663925
80,5.265,70.01,25.443931,0.1053,1.4002,2.5443931
81,5.3,70.2,24.6799505,0.106,1.404,2.46799505
82,5.335,70.39,25.164355,0.1067,1.4078,2.5164355
83,5.37,70.58,24.9856255,0.1074,1.4116,2.49856255
84,5.405,70.77,24.3122815,0.1081,1.4154,2.43122815
85,5.44,70.96,24.188697,0.1088,1.4192,2.4188697
86,5.475,71.15,24.313709,0.1095,1.423,2.4313709
87,5.51,71.34,25.536542,0.1102,1.4268,2.5536542
88,5.545,71.53,23.68226,0.1109,1.4306,2.368226
89,5.58,71.72,24.2975155,0.1116,1.4344,2.42975155
90,5.615,71.91,25.3620385,0.1123,1.4382,2.53620385
91,5.65,72.1,24.03847,0.113,1.442,2.403847
92,5.685,72.29,24.3090605,0.1137,1.4458,2.43090605
93,5.72,72.48,23.580928,0.1144,1.4496,2.3580928
94,5.755,72.67,23.9549835,0.1151,1.4534,2.39549835
95,5.79,72.86,24.3449875,0.1158,1.4572,2.43449875
96,5.825,73.05,23.541496,0.1165,1.461,2.3541496
97,5.86,73.24,23.956453,0.1172,1.4648,2.3956453
98,5.895,73.43,25.770839,0.1179,1.4686,2.5770839
99,5.93,73.62,24.5813615,0.1186,1.4724,2.45813615
100,5.965,73.81,24.0645315,0.1193,1.4762,2.40645315
101,6,74,26.2001475,0.12,1.48,2.62001475
102,6.035,74.19,25.1244675,0.1207,1.4838,2.51244675
103,6.07,74.38,24.3751435,0.1214,1.4876,2.43751435
104,6.105,74.57,24.33869,0.1221,1.4914,2.433869
105,6.14,74.76,24.518973,0.1228,1.4952,2.4518973
106,6.175,74.95,23.40099,0.1235,1.499,2.340099
107,6.21,75.14,25.020776,0.1242,1.5028,2.5020776
108,6.245,75.33,23.216904,0.1249,1.5066,2.3216904
109,6.28,75.52,24.0941505,0.1256,1.5104,2.40941505
110,6.315,75.71,24.5463625,0.1263,1.5142,2.45463625
